Chinese,Nvshu
名可名非常名,𛇾𛆄𛇾𛆌𛈾𛇾
有朋自远方来不亦乐乎,𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰
上善若水,𛆈𛋌𛇁𛅸
百万雄师过大江,𛇫𛈄𛈾𛊸𛉘𛅻𛈌
传天若有情天亦老,𛈆𛆤𛇁𛈶𛊭𛆤𛇁𛇼
人间正道是沧桑,𛅳𛆃𛇆𛋛𛆹𛇴𛈊
山快马加鞭未下鞍,𛇏𛇨𛇀𛉊𛇙𛆨𛅽𛊃
惊回首离天三尺三,𛇆𛇳𛆞𛊎𛆤𛆊𛅼𛆊
挥手从兹去,𛆌𛆞𛋳𛈤𛇂
记得当年草上飞,𛉓𛋀𛉰𛆥𛉤𛆈𛆌
忽报人间曾伏虎,𛋷𛇣𛅳𛆃𛋳𛆖𛇰
泪飞顿作倾盆雨,𛇟𛆌𛆬𛈱𛊯𛊘𛇯
三军过后尽开颜,𛆊𛊵𛉘𛇌𛈯𛇶𛈕
帝子乘风下翠微,𛅹𛆑𛋙𛋆𛅽𛇂𛊄
斑竹一枝千滴泪,𛊰𛊶𛆼𛈤𛆉𛆒𛇟
人生易老天难老,𛅳𛇏𛆱𛇼𛆤𛈷𛇼
不到长城非好汉,𛆳𛇼𛈽𛈒𛆌𛆚𛊧
装点此关山今朝更好看,𛈉𛉸𛇠𛈘𛇏𛆭𛅾𛋫𛆚𛆣
风雨送春归飞雪迎春到,𛋆𛇯𛉡𛊌𛈘𛆌𛊗𛋍𛊌𛇼
踏遍青山人未老,𛋥𛇙𛊭𛇏𛅳𛆨𛇼
风景这边独好,𛆠𛇆𛋔𛇙𛋥𛆚
子在川上曰逝者如斯夫,𛆑𛇥𛊯𛆈𛆴𛆓𛈖𛇄𛊸𛆔
更立西江石壁,𛋫𛇟𛈨𛈌𛊍𛉎
保安人物一时新,𛉎𛊃𛅳𛇵𛆼𛆸𛊛
飞凤亭边树桃花岭上风,𛆌𛋹𛊭𛇙𛋙𛊤𛈣𛉼𛆈𛋆
一下二三里青村四五家,𛅰𛅽𛅱𛆊𛉄𛊭𛊌𛈗𛈕𛉊
夜起望明月低头思故乡,𛇩𛆻𛈈𛇾𛇃𛅾𛇊𛊸𛉘𛉶
初步出山幼阳鸟不会拍翅开嘴啼,𛊾𛉖𛈚𛇏𛆱𛈿𛋒𛆳𛆴𛇫𛆑𛇶𛆘𛊹
啼得高声人取笑啼得低声人不闻,𛊹𛋀𛋂𛉂𛅳𛉛𛅿𛊹𛋀𛅾𛉂𛅳𛆳𛇷
先开金玉花后结弯嘴桃,𛇚𛇶𛆭𛉚𛈣𛇌𛊐𛆨𛆘𛊤
夜里同鬼睡问你怕不怕,𛇩𛉄𛊤𛈙𛆙𛉟𛈪𛇲𛆳𛇲
